500002,ABB India Limited,ABB,INE117A01022
500003,Aegis Logistics Ltd.,AEGISLOG,INE208C01025
500008,Amara Raja Energy & Mobility Limited,ARE&M,INE885A01032
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,INE432A01017
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,INE714B01016
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,INE096A01010
500016,Aruna Hotels Ltd.,ARUNAHTEL,INE957C01019
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,INE032A01023
500023,Asian Hotels (North) Limited,ASIANHOTNR,INE363A01022
500027,Atul Limited.,ATUL,INE100A01010
500028,ATV Projects India Ltd,ATVPR,INE447A01015
500031,Bajaj Electricals Ltd.,BAJAJELEC,INE193E01025
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,INE306A01021
500033,Force Motors Limited,FORCEMOT,INE451A01017
500034,Bajaj Finance Limited,BAJFINANCE,INE296A01024
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,INE119A01028
500039,Banco Products (India) Ltd.,BANCOINDIA,INE213C01025
500040,Century Textiles & Industries Ltd.,CENTURYTEX,INE055A01016
500041,Bannari Amman Sugars Ltd.,BANARISUG,INE459A01010
500042,BASF India Ltd,BASF,INE373A01013
500043,Bata India Limited,BATAINDIA,INE176A01028
500048,BEML Ltd,BEML,INE258A01016
500049,Bharat Electronics Ltd.,BEL,INE263A01024
500052,Bhansali Engineering Polymers Ltd.,BEPL,INE922A01025
500058,Bihar Sponge Iron Ltd,BIHSPONG,INE819C01011
500059,Binani Industries Limited,BINANIIND,INE071A01013
500060,Birla Cable Limited,BIRLACABLE,INE800A01015
500067,Blue Star Ltd,BLUESTARCO,INE472A01039
500068,Disa India Ltd.,DISAQ,INE131C01011
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,INE418C01012
500074,BPL Ltd.,BPL,INE110A01019
500078,ORIENTAL AROMATICS LIMITED,OAL,INE959C01023
500083,Century Extrusions Ltd.,CENTEXT,INE281A01026
500084,CESC Limited,CESC,INE486A01021
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,INE085A01013
500086,Exide Industries Ltd.,EXIDEIND,INE302A01020
500087,Cipla Ltd.,CIPLA,INE059A01026
500089,DIC India Ltd,DICIND,INE303A01010
500092,CRISIL Ltd.,CRISIL,INE007A01025
500093,CG Power and Industrial Solutions Limited,CGPOWER,INE067A01029
500096,Dabur India Ltd.,DABUR,INE016A01026
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,INE495A01022
500101,Arvind Ltd.,ARVIND,INE034A01011
500103,Bharat Heavy Electricals Ltd.,BHEL,INE257A01026
